person_id,supper_curfew_hours,no_caffeine_after_noon,blue_light_block_mins,supplement_compliance_pct
118,5.6,1,83,97
119,1.5,0,17,78
120,6.7,1,64,98
121,6.4,1,84,97
122,6.8,1,89,98
123,1.3,0,26,58
124,4.5,1,68,97
125,5.3,1,73,98
126,6.1,1,80,99
127,5.3,1,86,99
128,2.5,0,24,78
129,5.7,1,66,96
130,6.7,1,70,97
131,4.9,1,69,96
132,0.8,0,6,52
133,5.5,1,86,96
134,5.8,1,65,97
135,2.7,0,21,56
136,3.0,0,3,75
137,4.7,1,88,98
138,1.6,0,25,58
139,5.7,1,72,96
140,4.6,1,87,99
141,2.4,0,2,52
142,5.5,1,87,95
143,5.8,1,80,96
144,6.9,1,88,99
145,6.8,1,87,99
146,6.2,1,84,96
147,5.0,1,74,95
148,2.0,0,15,62
149,5.2,1,75,98
150,5.3,1,85,98
151,5.5,1,87,96
152,5.4,1,63,97
153,1.8,0,0,59
154,1.2,0,12,74
155,2.9,0,4,64
156,6.8,1,77,97
157,4.6,1,60,95
158,7.0,1,70,99
159,1.5,0,26,66
160,0.7,0,8,74
161,4.5,1,82,98
162,3.0,0,5,42
163,2.4,0,4,49
164,1.1,0,13,48
165,6.9,1,72,98
166,6.2,1,61,98
167,4.6,1,85,96
168,2.6,0,17,51
169,2.9,0,29,69
170,2.0,0,14,62
171,2.1,0,1,50
172,4.8,1,87,96
173,6.0,1,89,97
174,6.3,1,84,95
175,1.5,0,22,56
176,0.9,0,23,56
177,5.1,1,83,99
178,1.7,0,12,50
179,4.8,1,82,97
180,6.1,1,67,98
181,6.7,1,62,97
182,0.9,0,25,58
183,1.4,0,9,61
184,4.8,1,68,98
185,5.4,1,73,96
186,0.6,0,24,61
187,6.7,1,75,99
188,6.7,1,67,95
189,7.0,1,74,96
190,1.8,0,1,65
191,5.1,1,66,97
192,1.8,0,14,57
193,1.8,0,14,64
194,1.0,0,6,56
195,5.3,1,71,95
196,2.0,0,3,49
197,1.7,0,14,75
198,2.0,0,7,79
199,0.8,0,8,76
200,2.1,0,1,45
201,1.1,0,21,60
202,5.1,1,63,97
203,6.5,1,83,95
204,5.8,1,67,99
205,0.8,0,1,59
206,2.7,0,5,69
207,6.2,1,84,96
208,1.9,0,18,44
209,5.3,1,78,98
210,1.1,0,14,40
211,1.2,0,4,50
212,1.3,0,2,72
213,5.6,1,64,96
214,1.3,0,1,59
215,6.2,1,76,95
216,1.7,0,22,74
217,6.8,1,89,98
218,0.8,0,23,50
219,1.0,0,2,40
220,1.9,0,28,47
221,2.4,0,27,69
222,1.0,0,18,53
223,1.4,0,12,64
224,1.6,0,7,53
225,2.1,0,0,62
226,1.9,0,16,72
227,5.8,1,80,97
228,1.6,0,2,46
229,2.2,0,19,54
230,1.7,0,29,78
231,7.0,1,84,95
232,2.4,0,0,43
233,6.4,1,86,96
234,2.6,0,14,75
235,6.0,1,74,99
236,1.7,0,3,51
237,0.5,0,18,75
238,5.1,1,64,98
239,6.8,1,65,96
240,0.9,0,12,79
241,6.0,1,74,98
242,0.8,0,15,43
243,0.6,0,9,67
244,4.7,1,78,99
245,6.6,1,70,95
246,7.0,1,73,98
247,6.8,1,81,97
248,1.5,0,8,48
249,6.5,1,85,95
250,5.5,1,85,97
251,1.7,0,26,73
252,2.0,0,26,63
253,4.9,1,80,95
254,6.0,1,81,96
255,6.2,1,66,95
256,0.9,0,21,61
257,7.0,1,76,95
258,5.5,1,78,97
259,1.4,0,29,68
260,1.4,0,15,79
261,5.2,1,78,96
262,5.6,1,77,97
263,5.0,1,88,97
264,5.2,1,73,96
265,4.6,1,87,96
266,1.5,0,24,42
267,6.2,1,88,95
268,0.9,0,0,67
269,0.7,0,23,53
270,2.5,0,15,43
271,0.9,0,13,70
272,0.7,0,9,46
273,2.6,0,15,58
274,1.6,0,1,40
275,1.4,0,9,41
276,0.6,0,19,44
277,6.4,1,68,96
278,1.0,0,25,61
279,0.8,0,29,62
280,1.6,0,18,56
281,1.9,0,12,64
282,0.8,0,10,43
283,6.8,1,61,99
284,6.8,1,80,96
285,1.2,0,16,76
286,2.6,0,22,61
287,6.8,1,65,97
288,2.0,0,24,46
289,2.6,0,20,67
290,1.6,0,1,40
291,6.0,1,85,99
292,1.2,0,3,78
293,2.9,0,22,63
294,2.3,0,0,75
295,0.9,0,19,56
296,2.0,0,1,48
297,0.8,0,8,79
298,1.7,0,10,79
299,5.1,1,62,96
300,2.2,0,29,77
301,5.4,1,71,97
302,0.8,0,9,51
303,2.7,0,7,70
304,2.1,0,21,55
305,1.1,0,24,51
306,3.0,0,12,65
307,6.3,1,66,95
308,5.9,1,85,99
309,1.0,0,7,62
310,2.4,0,19,78
311,1.8,0,6,56
312,1.4,0,11,73
313,1.8,0,25,62
314,5.3,1,76,98
315,1.3,0,17,72
316,2.0,0,29,41
317,6.7,1,89,97
318,1.8,0,2,78
319,4.6,1,76,99
320,5.7,1,75,98
321,2.4,0,24,78
322,6.3,1,76,97
323,5.2,1,77,98
324,2.0,0,15,40
325,0.6,0,14,63
326,6.9,1,64,99
327,6.0,1,66,97
328,3.0,0,6,43
329,6.9,1,81,99
330,0.8,0,10,73
331,4.6,1,85,97
332,2.5,0,21,62
333,2.8,0,25,74
334,2.2,0,23,42
335,1.1,0,23,64
336,6.0,1,61,97
337,1.2,0,27,68
338,2.9,0,11,48
339,6.8,1,70,97
340,5.1,1,65,97
341,1.7,0,5,76
342,6.2,1,64,99
343,1.7,0,29,68
344,1.9,0,7,73
345,6.7,1,60,97
346,1.1,0,26,52
347,2.2,0,9,75
348,6.4,1,66,99
349,2.7,0,18,70
350,0.8,0,10,69
351,0.5,0,1,53
352,1.1,0,1,71
353,5.3,1,68,95
354,5.4,1,83,99
355,0.8,0,29,46
356,6.9,1,87,98
357,6.4,1,81,98
358,6.4,1,63,97
359,6.4,1,76,96
360,4.6,1,83,97
361,3.0,0,14,68
362,6.1,1,79,99
363,4.7,1,60,97
364,4.5,1,61,96
365,1.6,0,12,78
366,6.6,1,70,98
367,2.4,0,19,61
368,6.7,1,89,98
369,6.3,1,74,99
370,5.5,1,84,99
371,1.5,0,27,77
372,5.0,1,76,95
373,1.9,0,11,55
374,4.9,1,84,95
375,4.9,1,86,96
376,2.1,0,11,63
377,2.0,0,13,54
378,0.8,0,16,59
379,1.0,0,24,61
380,1.2,0,23,47
381,1.6,0,7,60
382,5.5,1,73,97
383,2.7,0,5,47
384,2.4,0,8,56
385,5.9,1,74,98
386,1.9,0,17,72
387,4.7,1,72,95
388,1.4,0,6,41
389,1.0,0,25,54
390,0.9,0,16,79
391,2.3,0,5,48
392,0.6,0,8,51
393,2.3,0,29,59
394,6.5,1,66,97
395,1.9,0,25,61
396,6.1,1,68,98
397,0.7,0,21,51
398,4.9,1,72,97
399,6.9,1,63,99
400,6.5,1,82,97
401,4.6,1,78,99
402,2.9,0,2,67
403,6.2,1,88,95
404,0.9,0,20,70
405,6.6,1,64,98
406,2.4,0,27,63
407,5.8,1,68,98
408,5.5,1,63,96
409,2.5,0,6,51
410,1.7,0,20,54
411,6.4,1,63,96
412,6.9,1,82,99
413,1.7,0,29,53
414,1.4,0,1,78
415,5.5,1,84,98
416,6.1,1,60,98
417,6.9,1,74,97
418,1.6,0,15,49
419,6.2,1,68,95
420,6.0,1,71,95
421,5.4,1,87,95
422,1.4,0,11,76
423,2.3,0,23,67
424,1.9,0,26,59
425,4.6,1,64,98
426,6.1,1,62,99
427,1.3,0,16,53
428,1.5,0,17,63
429,0.5,0,24,68
430,1.6,0,14,62
431,0.8,0,29,55
432,2.3,0,7,60
433,6.2,1,65,99
434,1.1,0,0,65
435,4.5,1,77,95
436,2.7,0,16,51
437,6.5,1,63,95
438,2.9,0,13,44
439,1.4,0,1,45
440,6.7,1,84,99
441,1.9,0,8,50
442,1.5,0,13,43
443,2.5,0,17,52
444,1.6,0,10,40
445,5.9,1,84,99
446,1.4,0,6,54
447,1.5,0,24,72
448,5.4,1,71,96
449,0.9,0,13,49
450,1.8,0,20,65
451,2.6,0,27,68
452,5.5,1,61,99
453,5.7,1,70,96
454,1.8,0,20,62
455,2.7,0,20,54
456,6.8,1,74,98
457,1.4,0,1,53
458,1.1,0,19,66
459,1.8,0,7,55
460,6.3,1,61,95
461,2.6,0,29,50
462,6.6,1,66,99
463,5.2,1,76,96
464,6.8,1,79,98
465,6.5,1,71,99
466,2.9,0,22,61
467,2.7,0,8,65
468,6.0,1,85,95
469,2.8,0,15,65
470,5.3,1,83,97
471,2.2,0,24,57
472,0.9,0,22,44
473,6.3,1,61,95
474,0.7,0,15,76
475,2.0,0,10,49
476,6.1,1,84,95
477,0.8,0,20,57
478,1.6,0,6,50
479,0.8,0,18,43
480,1.9,0,6,75
481,6.7,1,62,95
482,1.1,0,8,78
483,5.8,1,61,98
484,1.1,0,20,47
485,2.1,0,21,42
486,4.6,1,71,96
487,7.0,1,82,98
488,5.9,1,63,99
489,6.2,1,84,96
490,5.6,1,75,98
491,6.2,1,79,97
492,1.1,0,27,79
493,6.3,1,83,98
494,6.2,1,79,96
495,2.7,0,20,55
496,4.9,1,88,98
497,5.2,1,61,95
498,6.8,1,68,95
499,5.5,1,82,96
500,1.8,0,2,61
501,3.0,0,4,51
502,0.8,0,17,74
503,1.8,0,13,45
504,5.0,1,73,95
505,4.6,1,86,96
506,6.9,1,77,96
507,0.8,0,21,72
508,1.7,0,13,55
509,0.9,0,2,74
510,0.9,0,20,73
511,4.6,1,84,98
512,6.4,1,87,99
513,2.7,0,28,45
514,4.5,1,61,98
515,5.5,1,64,97
516,5.0,1,89,97
517,2.0,0,14,48
518,0.9,0,20,48
519,1.2,0,6,55
520,2.0,0,3,78
521,5.1,1,87,98
522,6.1,1,65,96
523,6.7,1,89,99
524,5.8,1,81,99
525,2.9,0,22,41
526,5.5,1,65,99
527,0.8,0,6,44
528,4.5,1,77,99
529,2.5,0,12,71
530,4.8,1,87,97
531,6.6,1,82,99
532,4.9,1,79,98
533,6.5,1,88,98
534,1.5,0,9,52
535,4.8,1,83,95
536,2.5,0,15,68
537,6.8,1,87,99
538,1.7,0,7,61
539,2.0,0,27,62
540,0.9,0,11,40
541,0.6,0,7,62
542,0.7,0,23,74
543,6.9,1,80,96
544,7.0,1,79,97
545,1.0,0,10,44
546,2.6,0,7,49
547,4.7,1,87,95
548,6.4,1,84,95
549,5.0,1,76,98
550,2.4,0,8,64
551,4.6,1,77,96
552,1.2,0,7,41
553,2.0,0,15,71
554,0.9,0,9,54
555,6.0,1,68,95
556,1.9,0,25,64
557,5.2,1,79,99
558,1.7,0,16,60
559,6.5,1,82,95
560,1.9,0,20,52
561,6.9,1,73,98
562,5.3,1,81,97
563,5.8,1,72,96
564,6.2,1,79,97
565,1.7,0,22,63
566,5.5,1,64,99
567,2.0,0,21,58
568,4.7,1,71,95
569,0.9,0,9,55
570,2.4,0,2,40
571,1.0,0,9,73
572,5.9,1,73,97
573,5.4,1,72,95
574,4.5,1,85,96
575,6.4,1,73,95
576,1.4,0,10,55
577,5.3,1,83,97
578,1.4,0,28,43
579,2.7,0,2,65
580,1.5,0,7,78
581,6.0,1,63,98
582,0.7,0,22,46
583,2.1,0,23,76
584,1.9,0,3,63
585,2.5,0,27,58
586,4.7,1,81,99
587,3.0,0,20,70
588,1.8,0,12,75
589,6.3,1,60,96
590,4.7,1,87,97
591,2.3,0,21,72
592,6.1,1,75,97
593,3.0,0,27,50
594,2.9,0,4,49
595,4.6,1,76,99
596,2.8,0,18,58
597,5.6,1,78,99
598,1.0,0,16,60
599,1.7,0,5,65
600,6.3,1,77,97
601,2.3,0,5,70
602,1.7,0,20,69
603,4.6,1,81,98
604,5.2,1,73,96
605,6.4,1,69,95
606,0.7,0,12,75
607,4.7,1,85,97
608,5.8,1,60,97
609,2.7,0,17,71
610,2.9,0,14,46
611,6.6,1,83,95
612,6.9,1,64,97
613,1.0,0,16,58
614,2.9,0,11,72
615,5.1,1,69,95
616,1.9,0,16,63
617,6.7,1,85,97
618,6.3,1,76,96
619,5.6,1,60,96
620,6.9,1,75,95
621,1.7,0,15,78
622,0.7,0,7,77
623,1.6,0,18,71
624,4.9,1,63,98
625,1.0,0,20,54
626,2.7,0,26,79
627,2.4,0,1,64
628,5.4,1,71,95
629,2.5,0,6,62
630,1.5,0,18,44
631,1.0,0,9,47
632,6.5,1,63,99
633,2.5,0,14,54
634,1.8,0,9,59
635,4.9,1,75,97
636,6.7,1,70,95
637,4.6,1,67,99
638,2.6,0,4,43
639,2.9,0,18,71
640,6.3,1,82,95
641,3.0,0,20,69
642,0.9,0,5,70
643,0.8,0,4,64
644,4.6,1,79,96
645,5.4,1,62,99
646,1.2,0,5,45
647,1.3,0,10,41
648,1.6,0,20,63
649,6.6,1,87,96
650,0.8,0,25,72
651,4.9,1,68,97
652,2.4,0,24,62
653,1.4,0,4,50
654,1.1,0,0,59
655,0.8,0,2,79
656,6.2,1,65,95
657,3.0,0,22,62
658,5.4,1,85,95
659,5.4,1,80,97
660,1.5,0,19,53
661,1.1,0,8,74
662,6.7,1,78,95
663,0.5,0,26,66
664,1.4,0,13,75
665,4.8,1,78,97
666,4.6,1,83,96
667,0.8,0,24,58
668,2.6,0,18,48
669,3.0,0,13,48
670,6.6,1,87,97
671,0.8,0,5,75
672,5.1,1,60,98
673,6.0,1,62,95
674,6.4,1,63,97
675,2.6,0,8,61
676,1.0,0,22,55
677,2.5,0,29,51
678,3.0,0,17,60
679,0.7,0,19,76
680,0.8,0,28,48
681,2.2,0,16,73
682,1.9,0,12,62
683,5.3,1,71,95
684,4.9,1,81,99
685,2.0,0,28,43
686,0.8,0,3,61
687,2.9,0,11,41
688,5.7,1,68,95
689,5.5,1,81,95
690,4.6,1,65,96
691,1.1,0,9,40
692,1.7,0,2,79
693,5.6,1,79,95
694,4.5,1,73,95
695,4.6,1,87,95
696,2.5,0,16,48
697,1.2,0,16,63
698,2.7,0,22,78
699,2.3,0,18,50
700,5.2,1,60,98
701,2.7,0,28,51
702,1.2,0,25,78
703,2.3,0,24,66
704,6.3,1,74,95
705,6.2,1,61,98
706,1.6,0,17,76
707,5.5,1,79,95
708,4.7,1,74,95
709,2.2,0,8,49
710,6.0,1,69,96
711,4.8,1,66,98
712,6.1,1,80,96
713,2.6,0,29,79
714,2.2,0,11,74
715,0.7,0,14,65
716,2.5,0,24,62
717,0.7,0,20,57
718,4.7,1,68,99
719,2.0,0,11,73
720,1.6,0,11,54
721,0.7,0,10,71
722,2.0,0,3,72
723,1.8,0,27,76
724,0.6,0,0,40
725,1.3,0,9,57
726,1.4,0,26,50
727,6.2,1,64,96
728,2.0,0,5,40
729,4.9,1,77,99
730,6.9,1,62,97
731,4.7,1,73,97
732,0.9,0,17,45
733,1.6,0,29,76
734,1.4,0,27,76
735,1.6,0,17,48
736,1.2,0,14,56
737,1.4,0,3,44
738,5.9,1,61,99
739,2.6,0,18,42
740,5.1,1,78,96
741,5.4,1,71,99
742,1.9,0,18,40
743,4.8,1,62,99
744,1.7,0,18,56
745,1.3,0,21,63
746,1.0,0,20,47
747,5.7,1,63,97
748,6.0,1,61,97
749,5.6,1,81,99
750,1.9,0,4,56
751,1.7,0,25,51
752,2.9,0,25,71
753,5.3,1,63,97
754,6.4,1,74,97
755,1.7,0,17,56
756,3.0,0,17,67
757,2.4,0,3,46
758,1.0,0,8,47
759,1.6,0,16,72
760,0.7,0,5,42
761,5.8,1,73,99
762,0.5,0,21,68
763,6.7,1,69,96
764,2.1,0,11,41
765,6.3,1,89,95
766,3.0,0,17,47
767,0.7,0,29,46
768,5.4,1,64,95
769,4.5,1,67,99
770,2.5,0,0,75
771,0.8,0,22,48
772,1.2,0,3,69
773,5.3,1,67,97
774,1.9,0,1,58
775,1.2,0,7,56
776,6.5,1,75,98
777,6.3,1,83,98
778,1.5,0,22,53
779,5.2,1,81,99
780,2.6,0,16,69
781,2.0,0,20,58
782,0.8,0,16,62
783,1.6,0,3,47
784,2.1,0,17,53
785,1.1,0,20,63
786,5.9,1,63,99
787,2.3,0,11,70
788,4.8,1,61,97
789,5.5,1,84,95
790,0.6,0,21,77
791,2.0,0,7,45
792,6.4,1,88,98
793,5.4,1,78,95
794,1.3,0,3,57
795,1.6,0,16,45
796,2.9,0,4,56
797,1.7,0,0,66
798,2.2,0,14,62
799,6.7,1,64,95
800,4.8,1,63,95
801,4.8,1,78,97
802,0.6,0,4,78
803,5.6,1,74,96
804,2.4,0,8,46
805,1.5,0,12,75
806,1.0,0,8,77
807,6.7,1,60,98
808,2.0,0,1,48
809,6.1,1,77,97
810,6.1,1,80,98
811,1.0,0,3,60
812,5.4,1,84,95
813,5.8,1,71,99
814,1.1,0,5,63
815,2.3,0,13,49
816,6.3,1,65,95
817,1.2,0,28,64
818,1.8,0,5,40
819,2.4,0,14,56
820,6.9,1,86,99
821,5.5,1,68,96
822,5.6,1,80,95
823,1.8,0,19,51
824,5.2,1,63,99
825,2.6,0,8,71
826,2.5,0,24,47
827,0.9,0,7,42
828,2.8,0,1,67
829,4.6,1,71,96
830,7.0,1,82,99
831,2.1,0,10,54
832,2.4,0,16,65
833,4.9,1,85,95
834,1.9,0,10,52
835,2.1,0,14,70
836,1.1,0,16,77
837,5.7,1,74,95
838,2.2,0,17,44
839,1.1,0,23,72
840,1.8,0,14,71
841,2.2,0,4,45
842,6.5,1,77,96
843,5.6,1,62,99
844,6.7,1,71,95
845,7.0,1,77,97
846,6.1,1,68,98
847,3.0,0,26,65
848,5.0,1,64,95
849,0.9,0,5,57
850,1.0,0,18,68
851,2.9,0,10,55
852,2.4,0,12,47
853,1.3,0,29,40
854,6.5,1,79,96
855,1.7,0,8,76
856,5.4,1,87,96
857,0.6,0,9,79
858,2.3,0,26,61
859,4.6,1,62,98
860,0.8,0,8,66
861,1.7,0,24,68
862,2.1,0,19,69
863,2.9,0,26,65
864,2.5,0,19,68
865,1.4,0,3,40
866,5.0,1,72,98
867,5.8,1,70,95
868,4.6,1,76,96
869,1.1,0,3,44
870,1.9,0,20,74
871,6.6,1,72,98
872,2.8,0,25,79
873,6.4,1,82,96
874,1.9,0,12,68
875,1.2,0,15,78
876,6.1,1,86,98
877,6.7,1,60,97
878,6.6,1,88,98
879,2.4,0,9,43
880,6.7,1,82,99
881,1.6,0,4,70
882,6.4,1,84,99
883,5.8,1,64,95
884,1.1,0,5,60
885,1.1,0,18,61
886,2.9,0,5,75
887,2.6,0,22,69
888,2.3,0,26,53
889,5.3,1,74,98
890,2.4,0,20,60
891,5.5,1,82,96
892,0.9,0,29,48
893,6.1,1,81,95
894,6.9,1,74,95
895,5.9,1,76,95
896,0.9,0,16,63
897,5.0,1,66,97
898,0.8,0,25,78
899,1.4,0,1,68
900,5.0,1,79,98
901,4.8,1,76,98
902,1.6,0,0,56
903,4.9,1,63,96
904,6.5,1,62,96
905,2.6,0,22,43
906,5.8,1,65,95
907,1.9,0,20,40
908,1.7,0,7,52
909,2.3,0,18,51
910,6.7,1,84,98
911,2.1,0,1,61
912,2.5,0,6,53
913,5.9,1,75,97
914,1.1,0,7,72
915,5.2,1,70,99
916,2.1,0,0,44
917,1.5,0,21,72
918,5.6,1,78,99
919,5.0,1,66,98
920,2.5,0,6,54
921,6.5,1,81,99
922,5.2,1,77,96
923,0.5,0,29,68
924,0.8,0,25,44
925,1.9,0,17,65
926,5.0,1,76,98
927,6.0,1,61,95
928,2.1,0,23,49
929,0.9,0,22,78
930,6.8,1,79,97
931,6.2,1,78,98
932,5.9,1,80,96
933,1.4,0,26,49
934,6.2,1,65,95
935,1.1,0,1,68
936,4.8,1,84,96
937,1.0,0,18,60
938,6.0,1,61,95
939,6.1,1,72,98
940,1.9,0,18,40
941,6.3,1,73,96
942,1.0,0,5,56
943,6.4,1,77,97
944,0.7,0,24,67
945,2.5,0,26,48
946,3.0,0,27,56
947,2.2,0,17,59
948,6.1,1,80,98
949,5.1,1,84,99
950,6.8,1,70,99
951,1.0,0,0,50
952,1.4,0,22,49
953,1.5,0,3,52
954,1.5,0,5,40
955,7.0,1,67,97
956,1.6,0,28,45
957,1.3,0,27,67
958,2.6,0,17,60
959,2.7,0,26,77
960,5.6,1,87,97
961,0.7,0,1,61
962,2.0,0,12,43
963,1.5,0,10,63
964,0.8,0,22,42
965,6.1,1,60,99
966,4.7,1,69,98
967,2.7,0,12,59
968,6.5,1,60,98
969,1.6,0,9,62
970,2.4,0,25,63
971,1.3,0,22,71
972,2.1,0,16,78
973,5.3,1,88,95
974,6.6,1,66,95
975,2.2,0,16,51
976,2.4,0,24,61
977,5.6,1,82,99
978,1.5,0,15,62
979,6.4,1,80,96
980,6.5,1,89,95
981,5.5,1,69,97
982,5.4,1,87,97
983,5.8,1,87,97
984,0.6,0,21,58
985,6.4,1,83,97
986,5.5,1,89,95
987,6.2,1,74,96
988,5.8,1,78,99
989,2.1,0,15,52
990,5.7,1,88,99
991,3.0,0,16,46
992,6.4,1,62,96
993,1.5,0,16,56
994,2.2,0,2,54
995,1.1,0,25,55
996,6.3,1,83,95
997,6.7,1,68,97
998,5.2,1,66,99
999,6.6,1,72,97
1000,5.5,1,84,96
1001,1.0,0,7,61
1002,5.0,1,67,98
1003,1.9,0,16,57
1004,6.5,1,74,98
1005,1.9,0,28,42
1006,1.4,0,7,43
1007,6.3,1,85,97
1008,1.4,0,1,48
1009,6.5,1,88,95
1010,1.6,0,25,76
1011,1.4,0,25,56
1012,5.0,1,71,99
1013,6.2,1,87,99
1014,5.1,1,62,99
1015,2.7,0,4,61
1016,1.3,0,28,52
1017,1.5,0,7,79
1018,2.7,0,29,51
1019,2.4,0,15,56
1020,0.8,0,18,65
1021,2.9,0,16,77
1022,6.1,1,62,99
1023,1.2,0,27,60
1024,1.0,0,3,46
1025,6.2,1,74,98
1026,3.0,0,23,59
1027,2.4,0,0,67
1028,1.7,0,21,45
1029,2.7,0,14,44
1030,6.6,1,75,95
1031,2.7,0,7,68
1032,2.2,0,17,41
1033,2.5,0,28,77
1034,7.0,1,70,99
1035,2.5,0,9,42
1036,1.1,0,14,55
1037,0.8,0,19,50
1038,6.5,1,70,98
1039,1.1,0,5,70
1040,2.1,0,3,71
1041,5.8,1,85,97
1042,1.5,0,28,49
1043,4.7,1,88,97
1044,6.3,1,70,95
1045,2.0,0,23,50
1046,1.4,0,4,44
1047,3.0,0,3,59
1048,1.8,0,10,57
1049,6.7,1,83,97
1050,5.8,1,68,97
1051,6.1,1,69,97
1052,2.5,0,0,54
1053,4.6,1,77,95
1054,0.9,0,19,72
1055,2.2,0,11,79
1056,2.9,0,2,67
1057,1.5,0,12,41
1058,1.2,0,3,65
1059,0.7,0,10,61
1060,0.7,0,25,69
1061,2.0,0,22,55
1062,2.0,0,15,66
1063,1.2,0,8,74
1064,5.0,1,76,95
1065,6.6,1,89,98
1066,5.6,1,71,95
1067,2.7,0,28,58
1068,2.5,0,6,73
1069,4.6,1,83,96
1070,5.6,1,79,97
1071,0.9,0,7,79
1072,4.9,1,70,99
1073,4.8,1,66,98
1074,6.2,1,63,99
1075,6.7,1,77,96
1076,2.3,0,13,71
1077,5.7,1,69,97
1078,4.9,1,82,95
1079,7.0,1,69,95
1080,1.2,0,1,48
1081,5.4,1,77,97
1082,2.2,0,9,54
1083,4.8,1,72,95
1084,2.9,0,25,66
1085,1.7,0,8,51
1086,6.6,1,66,95
1087,1.5,0,22,78
1088,6.4,1,89,99
1089,2.5,0,5,58
1090,1.8,0,13,70
1091,2.9,0,7,64
1092,1.2,0,5,67
1093,6.6,1,62,99
1094,6.8,1,88,95
1095,1.1,0,9,42
1096,1.3,0,26,70
1097,5.3,1,79,95
1098,5.1,1,80,96
1099,2.0,0,3,52
1100,2.0,0,16,59
1101,1.1,0,3,72
1102,1.0,0,23,47
1103,0.6,0,13,47
1104,1.1,0,26,52
1105,1.7,0,24,55
1106,2.4,0,16,69
1107,2.4,0,28,69
1108,2.2,0,29,60
1109,6.1,1,78,98
1110,1.7,0,11,70
1111,6.1,1,89,95
1112,2.8,0,14,40
1113,2.4,0,15,48
1114,5.7,1,72,95
1115,1.2,0,29,51
1116,6.5,1,89,97
1117,0.8,0,16,72
1118,6.2,1,80,96
1119,2.4,0,18,47
1120,1.1,0,10,63
1121,6.9,1,67,97
1122,2.0,0,5,58
1123,5.2,1,65,99
1124,2.3,0,25,75
1125,0.5,0,16,75
1126,7.0,1,85,98
1127,4.7,1,86,98
1128,5.4,1,67,95
1129,1.0,0,15,43
1130,4.9,1,74,98
1131,5.4,1,72,95
1132,1.0,0,23,48
1133,2.4,0,9,58
1134,2.5,0,25,66
1135,4.5,1,71,95
1136,1.5,0,1,62
1137,2.7,0,22,43
1138,6.2,1,60,95
1139,2.9,0,20,64
1140,2.6,0,20,72
1141,6.2,1,85,96
1142,6.3,1,84,99
1143,1.5,0,5,62
1144,2.8,0,27,74
1145,2.1,0,2,79
1146,5.3,1,76,97
